tow,date,avg_temp,latitude,longitude,Doppio_spatial_index,Doppio_temporal_index,forecast_temp,diff_temp
48834,2025-11-17,10.418458333333334,42.3122,-70.6836,21924,69131,8.59796179681537,1.8204965365179628
48834,2025-11-18,10.234853361111112,42.31219999999999,-70.68360000000001,21924,69131,8.59796179681537,1.6368915642957411
48835,2025-11-17,10.0438333125,42.5868,-70.4549,22413,69131,8.166962701382518,1.8768706111174822
48835,2025-11-18,10.025423604166667,42.5868,-70.4549,22413,69131,8.166962701382518,1.8584609027841488
48835,2025-11-19,10.033468708333332,42.58679999999999,-70.45489999999998,22413,69131,8.166962701382518,1.8665060069508144
48838,2025-11-17,8.788731666666665,43.1122,-70.3772,23870,69131,8.342251571020615,0.4464800956460504
48838,2025-11-18,8.719968145833333,43.1122,-70.3772,23870,69131,8.342251571020615,0.3777165748127178
48838,2025-11-19,8.671840333333334,43.11220000000001,-70.3772,23870,69131,8.342251571020615,0.32958876231271894
48839,2025-11-17,9.139048562500001,43.9578,-68.1662,22689,69131,7.6065092287077345,1.5325393337922666
48839,2025-11-18,9.016847166666667,43.9578,-68.1662,22689,69131,7.6065092287077345,1.410337937958932
48839,2025-11-19,8.906450750000001,43.957800000000006,-68.1662,22689,69131,7.6065092287077345,1.2999415212922667
48840,2025-11-17,10.468145104166666,41.8922,-69.8991,19265,69131,13.810065685006428,-3.341920580839762
48840,2025-11-18,10.3482986875,41.8922,-69.8991,19265,69131,13.810065685006428,-3.4617669975064285
48840,2025-11-19,10.296991714285715,41.8922,-69.89909999999999,19265,69131,13.810065685006428,-3.513073970720713
48842,2025-11-17,9.927506979166667,42.6081,-70.3745,22172,69131,8.160216802827087,1.7672901763395803
48842,2025-11-18,9.994381895833333,42.6081,-70.3745,22172,69131,8.160216802827087,1.8341650930062467
48842,2025-11-19,9.9790833125,42.6081,-70.3745,22172,69131,8.160216802827087,1.8188665096729135
48846,2025-11-17,9.231983333333334,41.4578,-70.1366,18291,69131,19.068951646080823,-9.836968312747489
48846,2025-11-18,8.775798541666667,41.4578,-70.1366,18291,69131,19.068951646080823,-10.293153104414156
48846,2025-11-19,8.5348540625,41.4578,-70.1366,18291,69131,19.068951646080823,-10.534097583580824
48852,2025-11-17,8.818853979166667,43.880500000000005,-68.4282,22928,69131,8.00969797624841,0.8091560029182574
48852,2025-11-18,8.701941083333333,43.880500000000005,-68.4282,22928,69131,8.00969797624841,0.6922431070849235
48852,2025-11-19,8.501142647058824,43.8805,-68.4282,22928,69131,8.00969797624841,0.49144467081041476
48855,2025-11-17,8.092854216666668,42.8593,-70.6522,23381,69131,7.580574914570515,0.5122793020961529
48855,2025-11-18,7.796104170833334,42.8593,-70.6522,23381,69131,7.580574914570515,0.21552925626281905
48855,2025-11-19,7.772683919047619,42.85929999999999,-70.6522,23381,69131,7.580574914570515,0.19210900447710433
48858,2025-11-17,8.763263958333335,43.9804,-68.2242,22931,69131,8.183285020515145,0.5799789378181899
48858,2025-11-18,8.561647208333333,43.9804,-68.2242,22931,69131,8.183285020515145,0.37836218781818864
48858,2025-11-19,8.541811027777777,43.9804,-68.22420000000001,22931,69131,8.183285020515145,0.3585260072626326
48861,2025-11-17,10.67,41.8684,-70.5114,20227,69131,17.1289615687482,-6.458961568748199
48861,2025-11-18,10.326071428571428,41.8684,-70.5114,20227,69131,17.1289615687482,-6.802890140176771
48862,2025-11-17,10.623323625,42.20525,-70.23285,20717,69131,10.881290975750359,-0.25796735075035926
48862,2025-11-18,10.564543708333334,42.20525,-70.23285,20717,69131,10.881290975750359,-0.31674726741702486
48862,2025-11-19,10.480181075,42.20524999999999,-70.23285000000001,20717,69131,10.881290975750359,-0.4011099007503578
48865,2025-11-19,11.951625,41.316897499999996,-71.5867,20454,69131,19.540067670577713,-7.588442670577713
48866,2025-11-19,11.927,41.315563,-71.6038,20453,69131,19.29858564564076,-7.37158564564076
48867,2025-11-19,11.798615,41.314476,-71.6022,20453,69131,19.29858564564076,-7.49997064564076
48868,2025-11-17,9.614913229166667,44.4606,-67.05395,22462,69131,9.266971796012966,0.34794143315370185
48868,2025-11-18,9.466225770833333,44.4606,-67.05395,22462,69131,9.266971796012966,0.19925397482036722
48868,2025-11-19,9.474119071428571,44.4606,-67.05395,22462,69131,9.266971796012966,0.20714727541560585
48869,2025-11-17,9.927506979166667,42.6081,-70.3745,22172,69131,8.160216802827087,1.7672901763395803
48869,2025-11-18,9.994381895833333,42.6081,-70.3745,22172,69131,8.160216802827087,1.8341650930062467
48869,2025-11-19,9.9790833125,42.6081,-70.3745,22172,69131,8.160216802827087,1.8188665096729135
48870,2025-11-17,9.594263958333334,44.044900000000005,-68.2256,23173,69131,9.385935514855483,0.20832844347785162
48870,2025-11-18,9.259847229166667,44.044900000000005,-68.2256,23173,69131,9.385935514855483,-0.12608828568881592
48870,2025-11-19,9.033650857142856,44.0449,-68.2256,23173,69131,9.385935514855483,-0.3522846577126266
48873,2025-11-17,10.504833291666666,42.3207,-70.4584,21442,69131,8.177009552404552,2.3278237392621133
48873,2025-11-18,10.280066041666666,42.3207,-70.4584,21442,69131,8.177009552404552,2.103056489262114
48873,2025-11-19,10.203793684210527,42.3207,-70.4584,21442,69131,8.177009552404552,2.026784131805975
48876,2025-11-17,10.8372346875,42.0828,-70.3336,20473,69131,8.449517839762775,2.3877168477372255
48876,2025-11-18,10.631464645833333,42.0828,-70.3336,20473,69131,8.449517839762775,2.181946806070558
48876,2025-11-19,10.4769283125,42.0828,-70.3336,20473,69131,8.449517839762775,2.027410472737225
48878,2025-11-17,10.376825104166667,41.7771,-70.4893,19742,69131,nan,
48878,2025-11-18,9.912202645833332,41.7771,-70.4893,19742,69131,nan,
48878,2025-11-19,9.814188466666668,41.777100000000004,-70.48929999999999,19742,69131,nan,
48884,2025-11-17,10.298804333333333,41.58065,-69.52635,17572,69131,9.440243511669326,0.8585608216640068
48884,2025-11-18,10.4603945,41.58065,-69.52635,17572,69131,9.440243511669326,1.0201509883306734
48884,2025-11-19,10.383981928571428,41.58065,-69.52635,17572,69131,9.440243511669326,0.9437384169021019
48885,2025-11-17,10.681350708333332,42.1173,-70.3099,20473,69131,8.449517839762775,2.2318328685705566
48885,2025-11-18,10.603548541666667,42.1173,-70.3099,20473,69131,8.449517839762775,2.154030701903892
48885,2025-11-19,10.430336770833334,42.1173,-70.3099,20473,69131,8.449517839762775,1.9808189310705586
48885,2025-11-20,10.2965625,42.1173,-70.30989999999998,20473,69131,8.449517839762775,1.8470446602372252
48891,2025-11-17,10.079486104166667,42.459,-70.6294,22168,69131,7.347256216031686,2.732229888134982
48891,2025-11-18,10.082291770833335,42.459,-70.6294,22168,69131,7.347256216031686,2.735035554801649
48891,2025-11-19,10.1412015,42.459,-70.6294,22168,69131,7.347256216031686,2.7939452839683137
48891,2025-11-20,10.11526467647059,42.459,-70.6294,22168,69131,7.347256216031686,2.768008460438904
48893,2025-11-17,8.068125016666666,42.888200000000005,-70.6327,23624,69131,8.35607782122245,-0.28795280455578265
48893,2025-11-18,7.6416597374999995,42.888200000000005,-70.6327,23624,69131,8.35607782122245,-0.7144180837224496
48893,2025-11-19,7.662131941666666,42.888200000000005,-70.6327,23624,69131,8.35607782122245,-0.6939458795557831
48893,2025-11-20,7.848328447058823,42.8882,-70.6327,23624,69131,8.35607782122245,-0.5077493741636259
48894,2025-11-17,8.289256875,42.8999,-70.6305,23624,69131,8.35607782122245,-0.0668209462224496
48894,2025-11-18,7.818194466666667,42.8999,-70.6305,23624,69131,8.35607782122245,-0.537883354555782
48894,2025-11-19,7.832347191666666,42.8999,-70.6305,23624,69131,8.35607782122245,-0.5237306295557831
48894,2025-11-20,8.156467931249999,42.8999,-70.6305,23624,69131,8.35607782122245,-0.1996098899724501
48896,2025-11-17,8.865277708333332,43.9263,-68.3055,22929,69131,7.8917313973813545,0.9735463109519777
48896,2025-11-18,8.744038125,43.9263,-68.3055,22929,69131,7.8917313973813545,0.8523067276186449
48896,2025-11-19,8.666649270833334,43.9263,-68.3055,22929,69131,7.8917313973813545,0.7749178734519795
48896,2025-11-20,8.698651852941177,43.9263,-68.3055,22929,69131,7.8917313973813545,0.8069204555598226
48898,2025-11-17,9.636555645833333,43.5744,-70.1082,24845,69131,11.946845943460268,-2.310290297626935
48898,2025-11-18,9.634541708333332,43.5744,-70.1082,24845,69131,11.946845943460268,-2.312304235126936
48898,2025-11-19,9.546951333333334,43.5744,-70.1082,24845,69131,11.946845943460268,-2.3998946101269336
48898,2025-11-20,9.440740694444445,43.5744,-70.10819999999998,24845,69131,11.946845943460268,-2.506105249015823
48900,2025-11-17,10.705743145833333,42.1357,-70.3479,20715,69131,8.411273653246916,2.2944694925864173
48900,2025-11-18,10.590847208333335,42.1357,-70.3479,20715,69131,8.411273653246916,2.179573555086419
48900,2025-11-19,10.519999854166667,42.1357,-70.3479,20715,69131,8.411273653246916,2.108726200919751
48900,2025-11-20,10.47421205,42.13570000000001,-70.3479,20715,69131,8.411273653246916,2.0629383967530845
